Order Date,Order ID,Quantity,Customer Name,Segment,Product Name,Category,Sub-Category,Manufacturer,City,State,Region,Ship Date,Ship Mode,Discount,Profit,Profit Ratio,Sales,PPU Before Discount,Profit Margin,Dispatch time,Shipping Cost,"c_name, city, state",High / Low / Loss
2016-03-28,CA-2016-121272,4,Denny Ordway,Consumer,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,Appliances,Acco,Seattle,Washington,West,2016-04-07,Standard Class,0.00,21.00,0.29,73.00,18.25,0.29,10,7.00,Denny OrdwaySeattle,Low
2016-03-29,CA-2016-121391,2,Alex Avila,Consumer,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,Tenex,San Francisco,California,West,2016-04-10,First Class,0.00,7.00,0.26,27.00,13.50,0.26,12,16.04,Alex AvilaSan Francisco,Low
2016-03-29,CA-2016-121405,5,Fred Chung,Corporate,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,Paper,Adams,Chicago,Illinois,Central,2016-04-08,Standard Class,0.20,9.00,0.36,24.00,6.00,0.38,10,13.20,Fred ChungChicago,Low
2016-03-29,CA-2016-121405,5,Fred Chung,Corporate,AT&T 17929 Lendline Telephone,Technology,Phones,AT&T,Chicago,Illinois,Central,2016-04-08,Standard Class,0.20,14.00,0.08,181.00,45.25,0.08,10,13.20,Fred ChungChicago,Low
2016-03-29,CA-2016-121552,4,Fred Wasserman,Corporate,Newell 316,Office Supplies,Art,Newell,Huntsville,Alabama,South,2016-03-30,Standard Class,0.00,5.00,0.28,20.00,5.00,0.25,1,9.94,Fred WassermanHuntsville,Low
2016-03-29,CA-2016-121608,1,Jennifer Braxton,Corporate,Classic Ivory Antique Telephone ZL1810,Technology,Phones,Other,Bristol,Connecticut,East,2016-04-10,First Class,0.00,25.00,0.25,100.00,100.00,0.25,12,22.34,Jennifer BraxtonBristol,Low
2016-03-29,CA-2016-121608,2,Jennifer Braxton,Corporate,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,Holmes,Bristol,Connecticut,East,2016-04-10,First Class,0.00,61.00,0.44,138.00,69.00,0.44,12,22.34,Jennifer BraxtonBristol,High
2016-03-29,CA-2016-121650,1,Keith Dawkins,Corporate,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Office Supplies,Labels,Universal,Jackson,Michigan,Central,2016-04-06,Standard Class,0.00,1.00,0.46,3.00,3.00,0.33,8,13.85,Keith DawkinsJackson,Low
2016-03-29,CA-2016-121650,2,Keith Dawkins,Corporate,"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Art,Avery,Jackson,Michigan,Central,2016-04-06,Standard Class,0.00,2.00,0.39,4.00,2.00,0.50,8,13.85,Keith DawkinsJackson,Low
2016-03-30,CA-2016-121650,2,Keith Dawkins,Corporate,Global Super Steno Chair,Furniture,Chairs,Global,Jackson,Michigan,Central,2016-04-06,Standard Class,0.00,33.00,0.17,192.00,96.00,0.17,7,13.85,Keith DawkinsJackson,Low
2016-03-30,CA-2016-121650,2,Keith Dawkins,Corporate,Bretford CR8500 Series Meeting Room Furniture,Furniture,Tables,Bretford,Jackson,Michigan,Central,2016-04-06,Standard Class,0.00,200.00,0.25,802.00,401.00,0.25,7,13.85,Keith DawkinsJackson,High
2016-03-30,CA-2016-121699,5,Bill Donatelli,Consumer,GBC Binding covers,Office Supplies,Binders,GBC,Detroit,Michigan,Central,2016-04-03,Standard Class,0.00,29.00,0.45,65.00,13.00,0.45,4,5.45,Bill DonatelliDetroit,Low
2016-03-31,CA-2016-121720,2,Jim Epp,Corporate,GBC Standard Plastic Binding Systems' Combs,Office Supplies,Binders,GBC,Lakeland,Florida,South,2016-04-12,First Class,0.70,-3.00,-0.83,4.00,6.67,-0.75,12,24.15,Jim EppLakeland,Loss
2016-03-31,CA-2016-121720,3,Jim Epp,Corporate,"Seth Thomas 8 1/2"" Cubicle Clock",Furniture,Furnishings,Seth Thomas,Lakeland,Florida,South,2016-04-12,First Class,0.20,7.00,0.15,49.00,20.42,0.14,12,24.15,Jim EppLakeland,Low
2016-03-31,CA-2016-121720,2,Jim Epp,Corporate,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Hunt,Lakeland,Florida,South,2016-04-12,First Class,0.20,8.00,0.13,61.00,38.13,0.13,12,24.15,Jim EppLakeland,Low
2016-04-02,CA-2016-121720,5,Jim Epp,Corporate,Ibico Laser Imprintable Binding System Covers,Office Supplies,Binders,Ibico,Lakeland,Florida,South,2016-04-12,First Class,0.70,-63.00,-0.80,79.00,52.67,-0.80,10,24.15,Jim EppLakeland,Loss
2016-04-02,CA-2016-121720,2,Jim Epp,Corporate,Cisco SPA301,Technology,Phones,Cisco,Lakeland,Florida,South,2016-04-12,First Class,0.20,31.00,0.13,250.00,156.25,0.12,10,24.15,Jim EppLakeland,High
2016-04-02,CA-2016-121720,4,Jim Epp,Corporate,Fellowes High-Stak Drawer Files,Office Supplies,Storage,Fellowes,Lakeland,Florida,South,2016-04-12,First Class,0.20,21.00,0.04,564.00,176.25,0.04,10,24.15,Jim EppLakeland,High
2016-04-02,CA-2016-121720,2,Jim Epp,Corporate,Tennsco 16-Compartment Lockers with Coat Rack,Office Supplies,Storage,Tennsco,Lakeland,Florida,South,2016-04-12,First Class,0.20,52.00,0.05,"1,037.00",648.13,0.05,10,24.15,Jim EppLakeland,High
2016-04-02,CA-2016-121720,5,Jim Epp,Corporate,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,Hon,Lakeland,Florida,South,2016-04-12,First Class,0.20,-183.00,-0.16,"1,124.00",281.00,-0.16,10,24.15,Jim EppLakeland,Loss
2016-04-02,CA-2016-121776,3,Rob Dowd,Consumer,Xerox 1881,Office Supplies,Paper,Xerox,Los Angeles,California,West,2016-04-14,Standard Class,0.00,17.00,0.47,37.00,12.33,0.46,12,14.86,Rob DowdLos Angeles,Low
2016-04-04,CA-2016-121776,7,Rob Dowd,Consumer,Avery 485,Office Supplies,Labels,Avery,Los Angeles,California,West,2016-04-14,Standard Class,0.00,41.00,0.47,88.00,12.57,0.47,10,14.86,Rob DowdLos Angeles,High
2016-04-04,CA-2016-121783,3,Philisse Overcash,Home Office,Staple-based wall hangings,Furniture,Furnishings,Staple-based wall hangings,Roseville,Minnesota,Central,2016-04-09,Standard Class,0.00,13.00,0.44,29.00,9.67,0.45,5,7.18,Philisse OvercashRoseville,Low
2016-04-04,CA-2016-121783,3,Philisse Overcash,Home Office,GBC Standard Therm-A-Bind Covers,Office Supplies,Binders,GBC,Roseville,Minnesota,Central,2016-04-09,Standard Class,0.00,34.00,0.46,75.00,25.00,0.45,5,7.18,Philisse OvercashRoseville,Low
2016-04-04,CA-2016-121783,1,Philisse Overcash,Home Office,Sharp 1540cs Digital Laser Copier,Technology,Copiers,Sharp,Roseville,Minnesota,Central,2016-04-09,Standard Class,0.00,275.00,0.50,550.00,550.00,0.50,5,7.18,Philisse OvercashRoseville,High
2016-04-04,CA-2016-121783,2,Philisse Overcash,Home Office,Hoover Shoulder Vac Commercial Portable Vacuum,Office Supplies,Appliances,Hoover,Roseville,Minnesota,Central,2016-04-09,Standard Class,0.00,179.00,0.25,716.00,358.00,0.25,5,7.18,Philisse OvercashRoseville,High
2016-04-04,CA-2016-121783,3,Philisse Overcash,Home Office,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,Tennsco,Roseville,Minnesota,Central,2016-04-09,Standard Class,0.00,143.00,0.18,796.00,265.33,0.18,5,7.18,Philisse OvercashRoseville,High
2016-04-04,CA-2016-121797,7,Charles Crestani,Consumer,"Computer Room Manger, 14""",Furniture,Furnishings,Other,Los Angeles,California,West,2016-04-15,Standard Class,0.00,82.00,0.36,227.00,32.43,0.36,11,14.86,Charles CrestaniLos Angeles,High
2016-04-04,CA-2016-121797,3,Charles Crestani,Consumer,Bady BDG101FRU Card Printer,Technology,Machines,Other,Los Angeles,California,West,2016-04-15,Standard Class,0.20,216.00,0.11,"1,920.00",800.00,0.11,11,14.86,Charles CrestaniLos Angeles,High
2016-04-04,CA-2016-121965,1,Logan Haushalter,Consumer,Xerox 231,Office Supplies,Paper,Xerox,Los Angeles,California,West,2016-04-13,Standard Class,0.00,3.00,0.48,6.00,6.00,0.50,9,14.86,Logan HaushalterLos Angeles,Low
2016-04-05,CA-2016-121965,2,Logan Haushalter,Consumer,Eldon 200 Class Desk Accessories,Furniture,Furnishings,Eldon,Los Angeles,California,West,2016-04-13,Standard Class,0.00,4.00,0.32,13.00,6.50,0.31,8,14.86,Logan HaushalterLos Angeles,Low
2016-04-05,CA-2016-121965,3,Logan Haushalter,Consumer,Cameo Buff Policy Envelopes,Office Supplies,Envelopes,Other,Los Angeles,California,West,2016-04-13,Standard Class,0.00,88.00,0.47,187.00,62.33,0.47,8,14.86,Logan HaushalterLos Angeles,High
2016-04-05,CA-2016-122168,3,Henry Goldwyn,Corporate,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,Art,Quartet,Florence,Kentucky,South,2016-04-09,Standard Class,0.00,8.00,0.47,18.00,6.00,0.44,4,5.99,Henry GoldwynFlorence,Low
2016-04-05,CA-2016-122168,12,Henry Goldwyn,Corporate,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,Other,Florence,Kentucky,South,2016-04-09,Standard Class,0.00,10.00,0.28,36.00,3.00,0.28,4,5.99,Henry GoldwynFlorence,Low
2016-04-05,CA-2016-122210,7,William Brown,Consumer,Revere Boxed Rubber Bands by Revere,Office Supplies,Fasteners,Other,Philadelphia,Pennsylvania,East,2016-04-14,Standard Class,0.20,-2.00,-0.23,11.00,1.96,-0.18,9,7.98,William BrownPhiladelphia,Loss
2016-04-05,CA-2016-122210,4,William Brown,Consumer,Motorla HX550 Universal Bluetooth Headset,Technology,Phones,Motorola,Philadelphia,Pennsylvania,East,2016-04-14,Standard Class,0.40,16.00,0.17,95.00,39.58,0.17,9,7.98,William BrownPhiladelphia,Low
2016-04-05,CA-2016-122210,3,William Brown,Consumer,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,Fellowes,Philadelphia,Pennsylvania,East,2016-04-14,Standard Class,0.70,-122.00,-0.80,153.00,170.00,-0.80,9,7.98,William BrownPhiladelphia,Loss
2016-04-05,CA-2016-122259,4,Harold Pawlan,Home Office,"Acme 10"" Easy Grip Assistive Scissors",Office Supplies,Supplies,Acme,Jackson,Michigan,Central,2016-04-16,Standard Class,0.00,21.00,0.30,70.00,17.50,0.30,11,13.85,Harold PawlanJackson,Low
2016-04-05,CA-2016-122266,1,Sue Ann Reed,Consumer,Crayola Colored Pencils,Office Supplies,Art,Crayola,Daytona Beach,Florida,South,2016-04-17,Standard Class,0.20,0.00,0.16,3.00,3.75,0.00,12,11.23,Sue Ann ReedDaytona Beach,Loss
2016-04-05,CA-2016-122266,1,Sue Ann Reed,Consumer,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,Bretford,Daytona Beach,Florida,South,2016-04-17,Standard Class,0.45,-77.00,-0.40,192.00,349.09,-0.40,12,11.23,Sue Ann ReedDaytona Beach,Loss
2016-04-05,CA-2016-122287,7,Skye Norling,Home Office,Peel & Stick Add-On Corner Pockets,Office Supplies,Binders,Other,Peoria,Arizona,West,2016-04-14,Standard Class,0.70,-3.00,-0.73,5.00,2.38,-0.60,9,14.23,Skye NorlingPeoria,Loss
2016-04-05,CA-2016-122287,2,Skye Norling,Home Office,Aluminum Screw Posts,Office Supplies,Binders,Other,Peoria,Arizona,West,2016-04-14,Standard Class,0.70,-6.00,-0.67,9.00,15.00,-0.67,9,14.23,Skye NorlingPeoria,Loss
2016-04-05,CA-2016-122287,3,Skye Norling,Home Office,Xerox 1922,Office Supplies,Paper,Xerox,Peoria,Arizona,West,2016-04-14,Standard Class,0.20,4.00,0.36,12.00,5.00,0.33,9,14.23,Skye NorlingPeoria,Low
2016-04-06,CA-2016-122287,5,Skye Norling,Home Office,Flat Face Poster Frame,Furniture,Furnishings,Other,Peoria,Arizona,West,2016-04-14,Standard Class,0.20,21.00,0.28,75.00,18.75,0.28,8,14.23,Skye NorlingPeoria,Low
2016-04-06,CA-2016-122371,3,Bryan Spruell,Home Office,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,Other,San Diego,California,West,2016-04-15,Standard Class,0.00,19.00,0.29,64.00,21.33,0.30,9,14.30,Bryan SpruellSan Diego,Low
2016-04-06,CA-2016-122371,2,Bryan Spruell,Home Office,Cameo Buff Policy Envelopes,Office Supplies,Envelopes,Other,San Diego,California,West,2016-04-15,Standard Class,0.00,58.00,0.47,124.00,62.00,0.47,9,14.30,Bryan SpruellSan Diego,High
2016-04-06,CA-2016-122406,2,Brad Eason,Home Office,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",Office Supplies,Paper,Other,Providence,Rhode Island,East,2016-04-13,Second Class,0.00,4.00,0.49,8.00,4.00,0.50,7,3.92,Brad EasonProvidence,Low
2016-04-06,CA-2016-122406,1,Brad Eason,Home Office,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs,Office Star,Providence,Rhode Island,East,2016-04-13,Second Class,0.00,16.00,0.14,111.00,111.00,0.14,7,3.92,Brad EasonProvidence,Low
2016-04-06,CA-2016-122406,3,Brad Eason,Home Office,Plantronics MX500i Earset,Technology,Phones,Plantronics,Providence,Rhode Island,East,2016-04-13,Second Class,0.00,4.00,0.03,129.00,43.00,0.03,7,3.92,Brad EasonProvidence,Low
2016-04-07,CA-2016-122406,2,Brad Eason,Home Office,Logitech G700s Rechargeable Gaming Mouse,Technology,Accessories,Logitech,Providence,Rhode Island,East,2016-04-13,Second Class,0.00,84.00,0.42,200.00,100.00,0.42,6,3.92,Brad EasonProvidence,High
2016-04-07,CA-2016-122623,2,Charles Crestani,Consumer,"Metal Folding Chairs, Beige, 4/Carton",Furniture,Chairs,Other,El Paso,Texas,Central,2016-04-12,Standard Class,0.30,-2.00,-0.04,48.00,34.29,-0.04,5,12.33,Charles CrestaniEl Paso,Loss
2016-04-07,CA-2016-122756,1,Dean Katz,Corporate,3M Hangers With Command Adhesive,Furniture,Furnishings,3M,Philadelphia,Pennsylvania,East,2016-04-09,Standard Class,0.20,1.00,0.26,3.00,3.75,0.33,2,7.98,Dean KatzPhiladelphia,Low
2016-04-07,CA-2016-122756,4,Dean Katz,Corporate,Lexmark MarkNet N8150 Wireless Print Server,Technology,Machines,Lexmark,Philadelphia,Pennsylvania,East,2016-04-09,Standard Class,0.70,-338.00,-0.70,482.00,401.67,-0.70,2,7.98,Dean KatzPhiladelphia,Loss
2016-04-07,CA-2016-122826,4,Rick Duston,Consumer,Pyle PRT45 Retro Home Telephone,Technology,Phones,Pyle,Olympia,Washington,West,2016-04-14,Second Class,0.20,23.00,0.11,202.00,63.13,0.11,7,5.66,Rick DustonOlympia,High
2016-04-09,CA-2016-122973,2,Pauline Johnson,Consumer,Economy Binders,Office Supplies,Binders,Other,New York City,New York,East,2016-04-11,Second Class,0.20,1.00,0.36,3.00,1.88,0.33,2,0.94,Pauline JohnsonNew York City,Low
2016-04-09,CA-2016-122973,1,Pauline Johnson,Consumer,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,Eldon,New York City,New York,East,2016-04-11,Second Class,0.00,2.00,0.29,7.00,7.00,0.29,2,0.94,Pauline JohnsonNew York City,Low
2016-04-09,CA-2016-122973,1,Pauline Johnson,Consumer,"Plantronics CS 50-USB - headset - Convertible, Monaural",Technology,Phones,Plantronics,New York City,New York,East,2016-04-11,Second Class,0.00,37.00,0.27,136.00,136.00,0.27,2,0.94,Pauline JohnsonNew York City,Low
2016-04-10,CA-2016-123092,2,Jack Garza,Consumer,Newell 312,Office Supplies,Art,Newell,Jacksonville,North Carolina,South,2016-04-18,Standard Class,0.20,1.00,0.13,9.00,5.63,0.11,8,14.61,Jack GarzaJacksonville,Low
2016-04-10,CA-2016-123092,3,Jack Garza,Consumer,"Seth Thomas 16"" Steel Case Clock",Furniture,Furnishings,Seth Thomas,Jacksonville,North Carolina,South,2016-04-18,Standard Class,0.20,13.00,0.16,78.00,32.50,0.17,8,14.61,Jack GarzaJacksonville,Low
2016-04-10,CA-2016-123092,5,Jack Garza,Consumer,GBC DocuBind P50 Personal Binding Machine,Office Supplies,Binders,GBC,Jacksonville,North Carolina,South,2016-04-18,Standard Class,0.70,-74.00,-0.77,96.00,64.00,-0.77,8,14.61,Jack GarzaJacksonville,Loss
2016-04-11,CA-2016-123092,2,Jack Garza,Consumer,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,Panasonic,Jacksonville,North Carolina,South,2016-04-18,Standard Class,0.20,9.00,0.09,106.00,66.25,0.08,7,14.61,Jack GarzaJacksonville,Low
2016-04-11,CA-2016-123113,3,Annie Thurman,Consumer,Newell 315,Office Supplies,Art,Newell,Morristown,New Jersey,East,2016-04-14,Second Class,0.00,4.00,0.25,18.00,6.00,0.22,3,7.30,Annie ThurmanMorristown,Low
2016-04-11,CA-2016-123113,8,Annie Thurman,Consumer,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,Appliances,Sanyo,Morristown,New Jersey,East,2016-04-14,Second Class,0.00,735.00,0.28,"2,625.00",328.13,0.28,3,7.30,Annie ThurmanMorristown,High
2016-04-11,CA-2016-123141,3,Gary Zandusky,Consumer,Global Deluxe Office Fabric Chairs,Furniture,Chairs,Global,Rio Rancho,New Mexico,West,2016-04-22,Standard Class,0.20,20.00,0.09,230.00,95.83,0.09,11,13.37,Gary ZanduskyRio Rancho,Low
2016-04-11,CA-2016-123141,4,Gary Zandusky,Consumer,SAFCO Arco Folding Chair,Furniture,Chairs,SAFCO,Rio Rancho,New Mexico,West,2016-04-22,Standard Class,0.20,99.00,0.11,884.00,276.25,0.11,11,13.37,Gary ZanduskyRio Rancho,High
2016-04-11,CA-2016-123155,5,Noel Staavos,Corporate,Maxell 4.7GB DVD-R,Technology,Accessories,Maxell,San Antonio,Texas,Central,2016-04-12,First Class,0.20,30.00,0.26,114.00,28.50,0.26,1,24.34,Noel StaavosSan Antonio,Low
2016-04-11,CA-2016-123155,3,Noel Staavos,Corporate,Panasonic KX T7736-B Digital phone,Technology,Phones,Panasonic,San Antonio,Texas,Central,2016-04-12,First Class,0.20,22.00,0.06,360.00,150.00,0.06,1,24.34,Noel StaavosSan Antonio,High
2016-04-12,CA-2016-123232,4,Doug Jacobs,Consumer,HTC One,Technology,Phones,HTC,Portland,Oregon,West,2016-04-24,Second Class,0.20,36.00,0.11,320.00,100.00,0.11,12,6.98,Doug JacobsPortland,High
2016-04-13,CA-2016-123330,3,Emily Phan,Consumer,Innergie mMini Combo Duo USB Travel Charging Kit,Technology,Phones,Other,Deltona,Florida,South,2016-04-19,Standard Class,0.20,38.00,0.35,108.00,45.00,0.35,6,14.14,Emily PhanDeltona,Low
2016-04-13,CA-2016-123456,2,Kean Nguyen,Corporate,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,Acco,Dallas,Texas,Central,2016-04-23,Standard Class,0.80,-122.00,-2.50,49.00,122.50,-2.49,10,6.99,Kean NguyenDallas,Loss
2016-04-13,CA-2016-123505,3,Andy Reiter,Consumer,Xerox 1970,Office Supplies,Paper,Xerox,Quincy,Massachusetts,East,2016-04-20,Standard Class,0.00,7.00,0.47,15.00,5.00,0.47,7,5.24,Andy ReiterQuincy,Low
2016-04-13,CA-2016-123568,3,Sanjit Chand,Consumer,Alliance Rubber Bands,Office Supplies,Fasteners,Alliance,West Jordan,Utah,West,2016-04-18,Standard Class,0.00,0.00,0.04,5.00,1.67,0.00,5,13.95,Sanjit ChandWest Jordan,Loss
2016-04-13,CA-2016-123568,3,Sanjit Chand,Consumer,"Executive Impressions 14"" Contract Wall Clock",Furniture,Furnishings,Executive Impressions,West Jordan,Utah,West,2016-04-18,Standard Class,0.00,22.00,0.33,67.00,22.33,0.33,5,13.95,Sanjit ChandWest Jordan,Low
2016-04-13,CA-2016-123568,5,Sanjit Chand,Consumer,Deluxe Heavy-Duty Vinyl Round Ring Binder,Office Supplies,Binders,Other,West Jordan,Utah,West,2016-04-18,Standard Class,0.20,29.00,0.31,92.00,23.00,0.32,5,13.95,Sanjit ChandWest Jordan,Low
2016-04-13,CA-2016-123568,3,Sanjit Chand,Consumer,Xerox 1988,Office Supplies,Paper,Xerox,West Jordan,Utah,West,2016-04-18,Standard Class,0.00,42.00,0.45,93.00,31.00,0.45,5,13.95,Sanjit ChandWest Jordan,High
2016-04-13,CA-2016-123673,2,Cathy Hwang,Home Office,Panasonic KX T7736-B Digital phone,Technology,Phones,Panasonic,Detroit,Michigan,Central,2016-04-24,Second Class,0.00,75.00,0.25,300.00,150.00,0.25,11,8.10,Cathy HwangDetroit,High
2016-04-13,CA-2016-123939,3,Maurice Satty,Consumer,Avery 474,Office Supplies,Labels,Avery,Bowling Green,Ohio,East,2016-04-17,Second Class,0.20,3.00,0.36,7.00,2.92,0.43,4,3.84,Maurice SattyBowling Green,Low
2016-04-13,CA-2016-123939,3,Maurice Satty,Consumer,"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",Technology,Phones,Belkin,Bowling Green,Ohio,East,2016-04-17,Second Class,0.40,4.00,0.15,27.00,15.00,0.15,4,3.84,Maurice SattyBowling Green,Low
2016-04-13,CA-2016-123939,3,Maurice Satty,Consumer,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,Other,Bowling Green,Ohio,East,2016-04-17,Second Class,0.20,49.00,0.11,436.00,181.67,0.11,4,3.84,Maurice SattyBowling Green,High
2016-04-13,CA-2016-124044,3,Melanie Seite,Consumer,Acco 3-Hole Punch,Office Supplies,Binders,Acco,Rochester,New York,East,2016-04-17,Second Class,0.20,4.00,0.35,11.00,4.58,0.36,4,0.78,Melanie SeiteRochester,Low
2016-04-13,CA-2016-124058,7,Lena Creighton,Consumer,Gear Head AU3700S Headset,Technology,Phones,Other,Oakland,California,West,2016-04-21,Standard Class,0.20,-15.00,-0.21,73.00,13.04,-0.21,8,8.79,Lena CreightonOakland,Loss
2016-04-13,CA-2016-124058,3,Lena Creighton,Consumer,Safco Contoured Stacking Chairs,Furniture,Chairs,SAFCO,Oakland,California,West,2016-04-21,Standard Class,0.20,36.00,0.06,572.00,238.33,0.06,8,8.79,Lena CreightonOakland,High
2016-04-13,CA-2016-124107,3,Brian Moss,Corporate,Belkin 6 Outlet Metallic Surge Strip,Office Supplies,Appliances,Belkin,Ann Arbor,Michigan,Central,2016-04-21,Second Class,0.10,5.00,0.18,29.00,10.74,0.17,8,1.20,Brian MossAnn Arbor,Low
2016-04-14,CA-2016-124107,3,Brian Moss,Corporate,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,Other,Ann Arbor,Michigan,Central,2016-04-21,Second Class,0.00,8.00,0.29,29.00,9.67,0.28,7,1.20,Brian MossAnn Arbor,Low
2016-04-16,CA-2016-124107,7,Brian Moss,Corporate,Staple envelope,Office Supplies,Envelopes,Staple envelope,Ann Arbor,Michigan,Central,2016-04-21,Second Class,0.00,27.00,0.47,58.00,8.29,0.47,5,1.20,Brian MossAnn Arbor,Low
2016-04-16,CA-2016-124107,5,Brian Moss,Corporate,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,Logitech,Ann Arbor,Michigan,Central,2016-04-21,Second Class,0.00,112.00,0.18,620.00,124.00,0.18,5,1.20,Brian MossAnn Arbor,High
2016-04-16,CA-2016-124268,3,Alan Dominguez,Home Office,Colorific Watercolor Pencils,Office Supplies,Art,Other,New York City,New York,East,2016-04-27,Standard Class,0.00,4.00,0.29,15.00,5.00,0.27,11,10.09,Alan DominguezNew York City,Low
2016-04-16,CA-2016-124450,3,Greg Tran,Consumer,Staples in misc. colors,Office Supplies,Art,Staples in misc. colors,Washington,District of Columbia,East,2016-04-22,Standard Class,0.00,9.00,0.39,23.00,7.67,0.39,6,5.81,Greg TranWashington,Low
2016-04-16,CA-2016-124450,3,Greg Tran,Consumer,Global Comet Stacking Arm Chair,Furniture,Chairs,Global,Washington,District of Columbia,East,2016-04-22,Standard Class,0.00,317.00,0.25,"1,268.00",422.67,0.25,6,5.81,Greg TranWashington,High
2016-04-16,CA-2016-124450,8,Greg Tran,Consumer,Cisco SPA525G2 5-Line IP Phone,Technology,Machines,Cisco,Washington,District of Columbia,East,2016-04-22,Standard Class,0.00,649.00,0.47,"1,380.00",172.50,0.47,6,5.81,Greg TranWashington,High
2016-04-16,CA-2016-124499,5,Fred McMath,Consumer,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Office Supplies,Appliances,Belkin,Detroit,Michigan,Central,2016-04-23,Standard Class,0.10,54.00,0.20,270.00,60.00,0.20,7,5.45,Fred McMathDetroit,High
2016-04-16,CA-2016-124499,3,Fred McMath,Consumer,High-Back Leather Manager's Chair,Furniture,Chairs,Other,Detroit,Michigan,Central,2016-04-23,Standard Class,0.00,35.00,0.09,390.00,130.00,0.09,7,5.45,Fred McMathDetroit,High
2016-04-16,CA-2016-124541,3,Thomas Thornton,Consumer,Ibico Covers for Plastic or Wire Binding Elements,Office Supplies,Binders,Ibico,Houston,Texas,Central,2016-04-27,Standard Class,0.80,-12.00,-1.75,7.00,11.67,-1.71,11,11.99,Thomas ThorntonHouston,Loss
2016-04-16,CA-2016-124541,2,Thomas Thornton,Consumer,Xerox 1949,Office Supplies,Paper,Xerox,Houston,Texas,Central,2016-04-27,Standard Class,0.20,3.00,0.36,8.00,5.00,0.38,11,11.99,Thomas ThorntonHouston,Low
2016-04-16,CA-2016-124541,6,Thomas Thornton,Consumer,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Office Supplies,Binders,Fellowes,Houston,Texas,Central,2016-04-27,Standard Class,0.80,-17.00,-1.75,10.00,8.33,-1.70,11,11.99,Thomas ThorntonHouston,Loss
2016-04-16,CA-2016-124541,2,Thomas Thornton,Consumer,Maxell 4.7GB DVD-RW 3/Pack,Technology,Accessories,Maxell,Houston,Texas,Central,2016-04-27,Standard Class,0.20,4.00,0.18,25.00,15.63,0.16,11,11.99,Thomas ThorntonHouston,Low
2016-04-16,CA-2016-124541,9,Thomas Thornton,Consumer,Newell 312,Office Supplies,Art,Newell,Houston,Texas,Central,2016-04-27,Standard Class,0.20,5.00,0.13,42.00,5.83,0.12,11,11.99,Thomas ThorntonHouston,Low
2016-04-16,CA-2016-124653,2,David Bremer,Corporate,Xerox 1967,Office Supplies,Paper,Xerox,Rochester,New York,East,2016-04-17,First Class,0.00,6.00,0.48,13.00,6.50,0.46,1,15.70,David BremerRochester,Low
2016-04-17,CA-2016-124653,7,David Bremer,Corporate,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,Office Supplies,Labels,Smead,Rochester,New York,East,2016-04-17,First Class,0.00,10.00,0.48,22.00,3.14,0.45,0,15.70,David BremerRochester,Low
2016-04-17,CA-2016-124653,7,David Bremer,Corporate,Xerox 1887,Office Supplies,Paper,Xerox,Rochester,New York,East,2016-04-17,First Class,0.00,64.00,0.48,133.00,19.00,0.48,0,15.70,David BremerRochester,High
2016-04-17,CA-2016-124800,2,Rick Wilson,Corporate,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Office Supplies,Appliances,3M,Mesa,Arizona,West,2016-04-25,Standard Class,0.20,14.00,0.24,61.00,38.13,0.23,8,10.67,Rick WilsonMesa,Low
